"","reclat","reclong","lat_lng"
"2479",-76.7145,158.7966,"-76.7145,158.7966"
"2480",-76.6889,159.383,"-76.6889,159.383"
"2481",-76.6804,159.2775,"-76.6804,159.2775"
"2482",-76.6864,159.3489,"-76.6864,159.3489"
"2483",-76.6878,159.36,"-76.6878,159.36"
"2484",-76.7156,159.2892,"-76.7156,159.2892"
"2485",-76.657,159.3234,"-76.657,159.3234"
"2486",-76.7,159.3686,"-76.7,159.3686"
"2487",-76.6842,159.353,"-76.6842,159.353"
"2488",-76.6833,159.2975,"-76.6833,159.2975"
"2489",-76.6831,159.3475,"-76.6831,159.3475"
"2490",-76.7131,158.7817,"-76.7131,158.7817"
"2491",-76.7122,159.3444,"-76.7122,159.3444"
"2492",-76.6867,159.3433,"-76.6867,159.3433"
"2493",-76.7042,159.3647,"-76.7042,159.3647"
"2494",-76.6833,159.3486,"-76.6833,159.3486"
"2495",-76.6931,159.3925,"-76.6931,159.3925"
"2496",-76.6922,159.3497,"-76.6922,159.3497"
"2497",-76.6889,159.3644,"-76.6889,159.3644"
"2498",-76.7011,159.4033,"-76.7011,159.4033"
"2499",-76.6872,159.3564,"-76.6872,159.3564"
"2500",-76.662,159.3462,"-76.662,159.3462"
"2501",-76.6886,159.3639,"-76.6886,159.3639"
"2502",-76.6811,159.3442,"-76.6811,159.3442"
"2503",-76.7047,159.3406,"-76.7047,159.3406"
"2504",-76.6878,159.3567,"-76.6878,159.3567"
"2505",-76.6985,159.396,"-76.6985,159.396"
"2506",-76.6682,159.2948,"-76.6682,159.2948"
"2507",-76.6897,159.2508,"-76.6897,159.2508"
"2508",-76.7146,158.798,"-76.7146,158.798"
"2509",-76.6917,159.2995,"-76.6917,159.2995"
"2510",-76.6894,159.3842,"-76.6894,159.3842"
